datetime,portfolio_value,cash,return
2020-03-02 09:30:00-05:00,100000.0,100000.0,
2020-03-03 09:30:00-05:00,100000.0,100000.0,0.0
2020-03-04 09:30:00-05:00,100000.0,100000.0,0.0
2020-03-05 09:30:00-05:00,100000.0,100000.0,0.0
2020-03-06 09:30:00-05:00,100000.0,100000.0,0.0
2020-03-07 09:30:00-05:00,100000.0,150128.64895629883,0.0
2020-03-09 09:30:00-04:00,100000.0,100000.0,0.0
2020-03-10 09:30:00-04:00,100693.4404296875,150096.642578125,0.006934404296875085
2020-03-11 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-03-12 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-03-13 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-03-14 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-03-16 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-03-17 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-03-18 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-03-19 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-03-20 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-03-21 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-03-23 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-03-24 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-03-25 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-03-26 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-03-27 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-03-28 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-03-30 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-03-31 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-04-01 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-04-02 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-04-03 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-04-04 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-04-06 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-04-07 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-04-08 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-04-09 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-04-10 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-04-13 09:30:00-04:00,100693.4404296875,100693.4404296875,0.0
2020-04-14 09:30:00-04:00,101303.83108520508,150988.86239624023,0.006061871090240478
2020-04-15 09:30:00-04:00,101303.83108520508,101303.83108520508,0.0
2020-04-16 09:30:00-04:00,101303.83108520508,101303.83108520508,0.0
2020-04-17 09:30:00-04:00,101303.83108520508,101303.83108520508,0.0
2020-04-18 09:30:00-04:00,101303.83108520508,101303.83108520508,0.0
2020-04-20 09:30:00-04:00,101303.83108520508,101303.83108520508,0.0
2020-04-21 09:30:00-04:00,101303.83108520508,101303.83108520508,0.0
2020-04-22 09:30:00-04:00,101303.83108520508,101303.83108520508,0.0
2020-04-23 09:30:00-04:00,101303.83108520508,101303.83108520508,0.0
2020-04-24 09:30:00-04:00,101303.83108520508,101303.83108520508,0.0
2020-04-25 09:30:00-04:00,101303.83108520508,101303.83108520508,0.0
2020-04-27 09:30:00-04:00,101303.83108520508,101303.83108520508,0.0
2020-04-28 09:30:00-04:00,101392.57278442383,50666.35299682617,0.0008759954906751855
2020-04-29 09:30:00-04:00,101423.89151000977,50666.35299682617,0.00030888579632470936
2020-04-30 09:30:00-04:00,100310.29257202148,50666.35299682617,-0.010979651060602169
2020-05-01 09:30:00-04:00,100291.0815234375,100291.0815234375,-0.00019151622521873524
2020-05-02 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-04 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-05 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-06 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-07 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-08 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-09 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-11 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-12 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-13 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-14 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-15 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-16 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-18 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-19 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-20 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-21 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-22 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-23 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-26 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-27 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-28 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-29 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-05-30 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-06-01 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-06-02 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-06-03 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-06-04 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-06-05 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-06-06 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-06-08 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-06-09 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-06-10 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-06-11 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-06-12 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-06-13 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-06-15 09:30:00-04:00,100291.0815234375,100291.0815234375,0.0
2020-06-16 09:30:00-04:00,100515.27210571291,150452.4032702637,0.0022353989893211246
2020-06-17 09:30:00-04:00,100515.27210571291,100515.27210571291,0.0
2020-06-18 09:30:00-04:00,100515.27210571291,100515.27210571291,0.0
2020-06-19 09:30:00-04:00,100515.27210571291,100515.27210571291,0.0
2020-06-20 09:30:00-04:00,100515.27210571291,100515.27210571291,0.0
2020-06-22 09:30:00-04:00,100515.27210571291,100515.27210571291,0.0
2020-06-23 09:30:00-04:00,101099.27112915041,150673.6705432129,0.00581005265372303
2020-06-24 09:30:00-04:00,101099.27112915041,101099.27112915041,0.0
